epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9652430415153503,0.9909930229187012,0.11192509531974792,0.9098385572433472,0.9556757807731628,0.9594638347625732,0.9805799722671509,0.16203680634498596,0.9622238278388977,0.8720930218696594
1,0.9844986200332642,0.997069776058197,0.051342904567718506,0.9562519788742065,0.9829646348953247,0.9738371968269348,0.9889532327651978,0.17244862020015717,0.9309701323509216,0.9670542478561401
2,0.9881721138954163,0.998137354850769,0.03967859596014023,0.965299665927887,0.988212525844574,0.9712532162666321,0.9902676939964294,0.13142351806163788,0.9672578573226929,0.9160206913948059
3,0.9884749054908752,0.9986352920532227,0.033612001687288284,0.9647549390792847,0.9900694489479065,0.9628552794456482,0.9733738899230957,0.24474482238292694,0.9557399749755859,0.8927648663520813
4,0.991563081741333,0.9987992644309998,0.026757070794701576,0.9741680026054382,0.9925722479820251,0.9751291871070862,0.988662600517273,0.11469770222902298,0.9561518430709839,0.9437984228134155
5,0.9927337169647217,0.9992582201957703,0.022022392600774765,0.9764659404754639,0.994913637638092,0.9746447205543518,0.9815955758094788,0.1353609412908554,0.9740967750549316,0.9231266379356384
6,0.9942071437835693,0.9994593858718872,0.016621334478259087,0.9809205532073975,0.9962053894996643,0.9769057035446167,0.987541675567627,0.13976383209228516,0.9570592045783997,0.9502583742141724
7,0.9955595135688782,0.99958336353302,0.014154787175357342,0.9853973984718323,0.997012734413147,0.9714147448539734,0.9764623045921326,0.18313659727573395,0.9711340069770813,0.9127907156944275
8,0.9965485334396362,0.9995535612106323,0.010728299617767334,0.9881703853607178,0.9981430768966675,0.9675387740135193,0.9891886115074158,0.16640186309814453,0.9049909710884094,0.9722222089767456
9,0.9969320297241211,0.999647319316864,0.009600798599421978,0.9894382953643799,0.9983852505683899,0.9765827059745789,0.983468770980835,0.18357627093791962,0.9673550724983215,0.9379844665527344
10,0.9972347617149353,0.9997168183326721,0.008231602609157562,0.9909418821334839,0.9980623126029968,0.9756137132644653,0.9788017868995667,0.18702740967273712,0.9665998816490173,0.9347545504570007
11,0.9983246922492981,0.9997961521148682,0.005236058961600065,0.9942948818206787,0.9990311861038208,0.9778746962547302,0.9802111983299255,0.18887682259082794,0.9584145545959473,0.9528423547744751
12,0.9987687468528748,0.9998988509178162,0.0036077925469726324,0.99589604139328,0.9991926550865173,0.9748061895370483,0.9678166508674622,0.2915147542953491,0.9734693765640259,0.9244186282157898
13,0.9992532134056091,0.9999023079872131,0.0026487719733268023,0.9975022077560425,0.9995155930519104,0.9736757278442383,0.9720436334609985,0.2785961925983429,0.9694915413856506,0.9237726330757141
14,0.9990715384483337,0.9999013543128967,0.0025411781389266253,0.9968593716621399,0.9994348287582397,0.9718992114067078,0.9677489995956421,0.3533647060394287,0.9718406796455383,0.9140827059745789
15,0.9995962977409363,0.9999039173126221,0.0018655171152204275,0.9986290335655212,0.9997577667236328,0.9775516986846924,0.9734264612197876,0.31020617485046387,0.9687291979789734,0.9405684471130371
16,0.9991724491119385,0.9999300837516785,0.0025163311511278152,0.9975014328956604,0.9991926550865173,0.9709302186965942,0.9646521806716919,0.3970252573490143,0.9697802066802979,0.9121447205543518
17,0.9997174143791199,0.9999590516090393,0.000877059472259134,0.9989514350891113,0.9999192357063293,0.9723837375640869,0.9692561030387878,0.3511310815811157,0.9699658751487732,0.917958676815033
18,0.999374270439148,0.9998100996017456,0.0022942458745092154,0.9979044198989868,0.9995962977409363,0.9709302186965942,0.970665454864502,0.30604293942451477,0.9704263806343079,0.9114987254142761
19,0.9996568560600281,0.9999587535858154,0.00128773448523134,0.9989511966705322,0.9996770620346069,0.973514199256897,0.9732694625854492,0.2889155149459839,0.9688346982002258,0.9237726330757141
