split,label,location,source_wav_relpath,clip_wav_relpath
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120222_000000.wav,neg/dz_20120222_000000_neg_32175405_2762803.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120222_000000.wav,neg/dz_20120222_000000_neg_34458488_2763224.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120222_000000.wav,neg/dz_20120222_000000_neg_38728196_2764031.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120222_000000.wav,neg/dz_20120222_000000_neg_40821935_2764394.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120222_000000.wav,neg/dz_20120222_000000_neg_42094304_2764585.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120222_000000.wav,neg/dz_20120222_000000_neg_44168633_2764958.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120222_000000.wav,neg/dz_20120222_000000_neg_44398340_2765001.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120222_000000.wav,neg/dz_20120222_000000_neg_44875750_2765079.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_10115000_2024.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_10275000_2056.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_10530000_2107.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_13625000_2726.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_13865000_2774.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_14450000_2891.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_14690000_2939.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_15885000_3178.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_21190000_4239.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_22080000_4417.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_22705000_4542.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_22735000_4548.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_29795000_5960.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_300000_61.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_30730000_6147.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_32760000_6553.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_34925000_6986.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_35070000_7015.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_37875000_7576.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_39005000_7802.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_40730000_8147.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_40920000_8185.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_41760000_8353.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_42960000_8593.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_43920000_8785.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_4580000_917.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_46755000_9352.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_46860000_9373.wav
test,neg,pnnn1,Rumble/Training/Sounds/nn01a_20180126_000000.wav,neg/nn01a_20180126_000000_neg_53467957_10677.wav
