split,label,location,source_wav_relpath,clip_wav_relpath
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10033917_119.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10038917_120.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10043917_121.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10048917_122.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10148758_123.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10179629_124.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10324108_125.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10329108_126.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10408808_127.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_1041464_3.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10423808_128.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10428808_129.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10448808_130.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10453808_131.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10458808_132.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_1046464_4.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10518271_133.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10571570_134.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_1061464_5.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_1066464_6.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10666117_135.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10712584_136.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10722584_137.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10732584_138.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10737584_139.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10799092_140.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_1081464_7.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10835002_141.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10845002_142.wav
test,neg,dzanga,Rumble/Testing/Dzanga/Sounds/dz_20120201_000000.wav,neg/holdout_test/dz_20120201_000000_neg_10886513_143.wav
